content_id,weekday_id,stratified_hour_id,y,n
136,0,early_fringe,402,5127
150,0,prime,402,5127
725,6,late_fringe,415,4714
136,0,daytime,457,5419
150,0,early_fringe,457,5419
134,0,early_fringe,457,5419
136,0,early_fringe,538,6067
150,0,early_fringe,538,6067
135,0,early_fringe,538,6067
134,0,early_fringe,538,6067
150,0,late_fringe,133,1598
132,0,early_fringe,107,1314
150,0,prime,107,1314
724,0,prime,107,1314
150,0,early_fringe,282,3900
135,0,early_fringe,282,3900
134,0,early_fringe,282,3900
133,0,daytime,250,3428
150,0,early_fringe,250,3428
136,0,early_fringe,375,4756
134,0,prime,375,4756
150,0,early_fringe,317,3914
134,0,early_fringe,317,3914
133,0,daytime,235,3217
150,0,early_fringe,235,3217
136,0,early_fringe,370,4632
136,0,daytime,280,3678
150,0,early_fringe,280,3678
135,0,early_fringe,280,3678
134,0,early_fringe,280,3678
150,0,early_fringe,304,3824
135,0,early_fringe,304,3824
134,0,early_fringe,304,3824
133,0,daytime,210,2714
150,0,early_fringe,210,2714
136,0,early_fringe,369,4141
134,0,prime,369,4141
133,0,morning,144,2267
131,0,daytime,144,2267
150,0,daytime,144,2267
133,0,daytime,319,3712
150,0,early_fringe,319,3712
136,0,early_fringe,468,5242
135,0,early_fringe,468,5242
134,0,prime,468,5242
225,0,prime,468,5242
150,0,early_fringe,333,4188
135,0,early_fringe,333,4188
134,0,early_fringe,333,4188
150,0,early_fringe,309,3915
134,0,early_fringe,309,3915
133,0,daytime,264,3142
150,0,early_fringe,264,3142
136,0,early_fringe,430,4942
134,0,prime,430,4942
136,4,daytime,365,4442
150,0,early_fringe,290,3745
134,0,early_fringe,290,3745
133,0,daytime,248,3202
150,0,early_fringe,248,3202
136,0,early_fringe,422,4804
135,0,early_fringe,422,4804
134,0,prime,422,4804
133,0,daytime,268,3129
136,0,early_fringe,400,4714
150,0,prime,400,4714
150,0,early_fringe,354,4311
134,0,early_fringe,354,4311
133,0,daytime,237,2962
150,0,early_fringe,237,2962
136,0,early_fringe,382,4342
134,0,prime,382,4342
133,0,daytime,474,4987
150,0,early_fringe,474,4987
136,0,early_fringe,558,6216
136,0,early_fringe,947,9914
150,0,prime,947,9914
19,0,prime,947,9914
136,0,daytime,781,8779
150,0,early_fringe,781,8779
134,0,early_fringe,781,8779
136,0,early_fringe,1226,13011
150,0,prime,1226,13011
134,0,prime,1226,13011
150,0,early_fringe,421,5470
134,0,prime,669,7933
150,0,early_fringe,529,6256
134,0,early_fringe,529,6256
150,0,early_fringe,489,6003
134,0,early_fringe,489,6003
150,0,prime,625,7183
134,0,prime,625,7183
150,0,early_fringe,438,5413
134,0,early_fringe,438,5413
133,0,daytime,398,4771
150,0,early_fringe,398,4771
136,0,early_fringe,677,7667
134,0,prime,677,7667
150,0,early_fringe,435,5173
135,0,early_fringe,435,5173
134,0,early_fringe,435,5173
133,0,morning,316,3992
135,0,daytime,316,3992
131,0,daytime,316,3992
188,0,daytime,316,3992
133,0,daytime,375,4480
150,0,early_fringe,375,4480
136,0,early_fringe,622,7128
150,0,early_fringe,533,5906
135,0,early_fringe,533,5906
134,0,early_fringe,533,5906
133,0,daytime,426,5185
136,0,early_fringe,730,7949
150,0,prime,730,7949
134,0,prime,730,7949
150,0,early_fringe,363,4520
134,0,early_fringe,363,4520
134,4,prime,810,8254
150,0,early_fringe,431,5059
134,0,early_fringe,431,5059
133,0,daytime,353,4313
150,0,early_fringe,353,4313
136,0,early_fringe,658,7004
133,0,daytime,364,4392
150,0,early_fringe,364,4392
136,0,early_fringe,608,6735
134,0,prime,608,6735
150,0,early_fringe,402,4972
134,0,early_fringe,402,4972
150,6,early_fringe,436,4867
135,6,early_fringe,436,4867
133,6,early_fringe,455,4788
136,6,early_fringe,455,4788
134,6,prime,455,4788
133,0,daytime,464,5045
150,0,early_fringe,464,5045
135,0,early_fringe,464,5045
136,0,early_fringe,580,6031
134,0,prime,580,6031
136,0,early_fringe,842,9174
150,0,prime,842,9174
136,6,early_fringe,672,7255
150,6,early_fringe,672,7255
136,0,early_fringe,1089,11400
136,0,early_fringe,992,10269
134,0,early_fringe,992,10269
136,0,early_fringe,2309,21825
135,0,prime,2309,21825
134,0,prime,2309,21825
