"","gender","state","cardholder","balance","numTrans","numIntlTrans","creditLine","fraudRisk","balance_q","credl_q","Segmento"
"1",1,35,1,3000,4,14,2,0,"2","1","3"
"2",0,2,1,0,9,0,18,0,"1","4","3"
"3",0,2,1,0,27,9,16,0,"1","4","3"
"4",1,15,1,0,12,0,5,0,"1","2","3"
"5",1,46,1,0,11,16,7,0,"1","3","3"
"6",0,44,0,5546,21,0,13,0,"3","4","2"
"7",1,3,1,2000,41,0,1,0,"1","1","3"
"8",1,10,1,6016,20,3,6,0,"3","2","3"
"9",0,32,1,2428,4,10,22,0,"1","4","3"
"10",1,23,1,0,18,56,5,0,"1","2","3"
"11",1,46,1,4601,54,0,4,0,"3","1","3"
"12",1,10,1,3000,20,0,2,0,"2","1","3"
"13",1,6,1,0,45,2,4,0,"1","1","3"
"14",0,38,1,9000,41,3,8,0,"4","3","2"
"15",1,27,1,5227,60,0,17,0,"3","4","2"
"16",1,44,1,0,22,0,5,0,"1","2","3"
"17",0,18,1,13970,20,0,13,0,"4","4","1"
"18",1,35,1,3113,13,6,8,0,"2","3","3"
"19",1,5,1,9000,20,2,8,0,"4","3","2"
"20",0,31,1,1860,21,10,8,0,"1","3","3"
"21",1,39,1,4000,24,0,3,0,"2","1","3"
"22",1,34,1,0,22,0,3,0,"1","1","3"
"23",1,5,1,0,7,0,11,0,"1","3","3"
"24",0,21,1,0,15,0,3,0,"1","1","3"
"25",1,25,1,0,12,0,65,0,"1","4","3"
"26",0,29,1,5000,4,9,4,0,"3","1","3"
"27",1,38,1,4000,21,5,3,0,"2","1","3"
"28",1,9,1,12000,20,0,11,0,"4","3","2"
"29",0,20,1,0,19,0,2,0,"1","1","3"
"30",0,49,1,5192,84,0,13,1,"3","4","2"
"31",1,29,1,0,23,0,4,0,"1","1","3"
"32",1,31,1,6000,8,0,5,0,"3","2","3"
"33",0,48,1,4899,49,0,10,0,"3","3","3"
"34",0,20,1,7000,43,2,6,0,"3","2","3"
"35",1,44,1,0,27,0,8,0,"1","3","3"
"36",1,20,1,10257,23,0,13,0,"4","4","1"
"37",1,36,1,5000,24,0,4,0,"3","1","3"
"38",0,36,1,3000,34,22,2,0,"2","1","3"
"39",1,5,1,5000,14,0,4,0,"3","1","3"
"40",0,46,1,9000,7,0,8,0,"4","3","2"
"41",1,5,1,1575,44,0,7,0,"1","3","3"
"42",1,35,1,4973,13,0,12,0,"3","4","2"
"43",1,44,1,0,29,5,2,0,"1","1","3"
"44",0,11,1,17656,16,3,25,1,"4","4","1"
"45",1,5,1,0,15,1,2,0,"1","1","3"
"46",1,17,1,0,25,0,5,0,"1","2","3"
"47",0,23,1,0,5,3,4,0,"1","1","3"
"48",1,3,1,11090,41,0,13,0,"4","4","1"
"49",1,5,1,0,4,1,7,0,"1","3","3"
"50",0,5,1,10826,4,0,20,0,"4","4","1"
"51",1,5,1,0,26,0,4,0,"1","1","3"
"52",0,35,1,0,57,24,6,0,"1","2","3"
"53",0,5,1,1352,6,1,4,0,"1","1","3"
"54",0,5,1,8000,22,0,7,0,"4","3","2"
"55",1,10,1,6000,52,0,5,0,"3","2","3"
"56",0,43,0,9000,5,0,8,0,"4","3","2"
"57",0,10,1,8000,30,60,7,1,"4","3","2"
"58",0,43,1,0,33,0,15,0,"1","4","3"
"59",1,46,1,0,14,0,4,0,"1","1","3"
"60",0,23,0,11025,14,15,16,0,"4","4","1"
"61",0,19,0,4000,1,2,3,0,"2","1","3"
"62",1,43,1,3000,32,0,2,0,"2","1","3"
"63",0,23,1,0,38,0,3,0,"1","1","3"
"64",1,36,1,13876,100,2,20,1,"4","4","1"
"65",0,35,1,4000,7,6,3,0,"2","1","3"
"66",1,15,1,10144,26,0,21,1,"4","4","1"
"67",0,38,1,545,25,5,17,0,"1","4","3"
"68",0,4,1,6000,13,0,5,0,"3","2","3"
"69",1,7,1,0,16,4,3,0,"1","1","3"
"70",1,5,1,3490,29,0,4,0,"2","1","3"
"71",1,46,1,4000,21,0,3,0,"2","1","3"
"72",1,2,1,5000,35,8,4,0,"3","1","3"
"73",0,6,1,13000,16,0,12,0,"4","4","1"
"74",0,10,1,4000,6,0,3,0,"2","1","3"
"75",1,15,1,5000,4,1,4,0,"3","1","3"
"76",0,17,1,0,2,1,47,0,"1","4","3"
"77",1,14,0,10079,12,0,25,0,"4","4","1"
"78",1,18,1,5919,38,0,5,0,"3","2","3"
"79",1,2,1,0,29,7,4,0,"1","1","3"
"80",1,42,1,5000,9,0,4,0,"3","1","3"
"81",1,41,1,5000,9,0,4,0,"3","1","3"
"82",0,10,1,0,19,0,5,0,"1","2","3"
"83",1,32,1,7610,16,8,17,0,"4","4","1"
"84",0,43,1,7343,99,0,14,0,"4","4","1"
"85",0,21,1,6535,11,0,6,0,"3","2","3"
"86",0,4,1,4000,26,0,3,0,"2","1","3"
"87",1,10,1,10681,100,0,10,1,"4","3","2"
"88",0,44,1,8171,20,0,11,0,"4","3","2"
"89",1,38,1,0,10,2,12,0,"1","4","3"
"90",0,2,1,4000,14,20,3,0,"2","1","3"
"91",1,23,1,10000,30,4,9,0,"4","3","2"
"92",0,46,1,5000,100,1,4,0,"3","1","3"
"93",1,35,1,9245,9,2,11,0,"4","3","2"
"94",1,3,1,15000,15,1,14,0,"4","4","1"
"95",1,39,1,779,94,8,2,0,"1","1","3"
"96",1,39,1,0,10,0,3,0,"1","1","3"
"97",1,25,1,7493,27,0,15,0,"4","4","1"
"98",1,5,1,1849,46,0,6,0,"1","2","3"
"99",0,5,1,5500,14,0,11,0,"3","3","3"
"100",1,16,1,0,32,0,26,0,"1","4","3"
"101",0,26,1,3000,16,0,2,0,"2","1","3"
"102",0,15,1,8958,2,26,10,0,"4","3","2"
"103",0,22,1,6461,14,3,28,0,"3","4","2"
"104",0,20,1,3858,32,4,22,0,"2","4","3"
"105",0,5,1,637,14,5,10,0,"1","3","3"
"106",1,10,1,0,22,0,4,0,"1","1","3"
"107",0,30,1,8760,26,0,11,0,"4","3","2"
"108",0,15,1,839,10,5,6,0,"1","2","3"
"109",1,46,1,5000,28,17,4,0,"3","1","3"
"110",1,15,1,5000,7,0,4,0,"3","1","3"
"111",0,35,1,11000,14,0,10,1,"4","3","2"
"112",0,44,1,0,16,28,4,0,"1","1","3"
"113",1,28,1,0,31,0,3,0,"1","1","3"
"114",0,2,1,6000,11,0,5,0,"3","2","3"
"115",1,36,0,5000,32,0,4,0,"3","1","3"
"116",1,26,1,3000,22,30,2,0,"2","1","3"
"117",0,13,1,5000,32,7,4,0,"3","1","3"
"118",1,11,1,0,39,3,13,0,"1","4","3"
"119",1,34,1,10000,2,25,9,0,"4","3","2"
"120",1,11,1,9000,24,0,8,0,"4","3","2"
"121",0,10,1,4000,6,4,3,0,"2","1","3"
"122",0,5,1,5689,25,0,11,0,"3","3","3"
"123",1,44,1,651,12,0,5,0,"1","2","3"
"124",0,48,1,0,11,4,4,0,"1","1","3"
"125",1,48,1,6719,24,0,13,0,"3","4","2"
"126",1,43,1,0,7,0,4,0,"1","1","3"
"127",1,10,1,6000,28,1,5,0,"3","2","3"
"128",1,32,1,7000,5,0,6,0,"3","2","3"
"129",1,44,1,4000,73,0,3,0,"2","1","3"
"130",1,12,1,0,32,7,2,0,"1","1","3"
"131",1,30,1,7000,27,5,6,0,"3","2","3"
"132",1,36,1,8663,7,5,11,0,"4","3","2"
"133",1,16,1,0,36,0,2,0,"1","1","3"
"134",0,2,1,5000,100,0,4,0,"3","1","3"
"135",0,35,0,2507,10,0,3,0,"1","1","3"
"136",0,36,1,5000,16,8,4,0,"3","1","3"
"137",1,35,0,1101,100,4,1,0,"1","1","3"
"138",0,47,1,7644,11,0,63,0,"4","4","1"
"139",1,7,1,0,16,0,2,0,"1","1","3"
"140",1,43,1,355,16,0,32,0,"1","4","3"
"141",0,3,1,8000,21,0,7,0,"4","3","2"
"142",0,5,1,0,35,14,8,0,"1","3","3"
"143",0,43,1,6000,33,0,5,0,"3","2","3"
"144",1,24,1,8000,36,0,7,0,"4","3","2"
"145",0,4,1,5000,9,0,4,0,"3","1","3"
"146",1,46,1,0,53,0,28,0,"1","4","3"
"147",1,35,1,2735,16,0,11,0,"1","3","3"
"148",1,3,1,0,45,23,5,0,"1","2","3"
"149",0,4,1,2000,73,8,8,0,"1","3","3"
"150",0,10,1,5000,21,6,4,0,"3","1","3"
"151",1,29,1,673,9,25,2,0,"1","1","3"
"152",1,25,1,7000,17,0,6,0,"3","2","3"
"153",1,5,1,5000,13,0,4,0,"3","1","3"
"154",0,18,1,7000,16,0,6,0,"3","2","3"
"155",0,15,1,11000,4,0,10,0,"4","3","2"
